BenM,Ryan Maslow,NinjaAssassin
TomH,Paul Edgecomb,TheGreenMile
MichaelD,John Coffey,TheGreenMile
DavidM,"Brutus Brutal"" Howell""",TheGreenMile
BonnieH,Jan Edgecomb,TheGreenMile
JamesC,Warden Hal Moores,TheGreenMile
SamR,Wild Bill Wharton,TheGreenMile
GaryS,Burt Hammersmith,TheGreenMile
PatriciaC,Melinda Moores,TheGreenMile
FrankL,Richard Nixon,FrostNixon
MichaelS,David Frost,FrostNixon
KevinB,Jack Brennan,FrostNixon
OliverP,Bob Zelnick,FrostNixon
SamR,"James Reston, Jr.",FrostNixon
JackN,Hoffa,Hoffa
DannyD,Robert (Bobby) Ciaro,Hoffa
JTW,Frank Fitzsimmons,Hoffa
JohnR,Peter (Pete) Connelly,Hoffa
TomH,Jim Lovell,Apollo13
KevinB,Jack Swigert,Apollo13
EdH,Gene Kranz,Apollo13
BillPax,Fred Haise,Apollo13
GaryS,Ken Mattingly,Apollo13
BillPax,Bill Harding,Twister
HelenH,Dr. Jo Harding,Twister
ZachG,Eddie,Twister
PhilipH,Dustin (Dusty) Davis,Twister
TomH,Chuck Noland,CastAway
HelenH,Kelly Frears,CastAway
JackN,Randle McMurphy,OneFlewOvertheCuckoosNest
DannyD,Martini,OneFlewOvertheCuckoosNest
JackN,Harry Sanborn,SomethingsGottaGive
DianeK,Erica Barry,SomethingsGottaGive
Keanu,Julian Mercer,SomethingsGottaGive
Robin,Andrew Marin,BicentennialMan
OliverP,Rupert Burns,BicentennialMan
TomH,Rep. Charlie Wilson,CharlieWilsonsWar
JuliaR,Joanne Herring,CharlieWilsonsWar
PhilipH,Gust Avrakotos,CharlieWilsonsWar
TomH,"Hero Boy', 'Father', 'Conductor', 'Hobo', 'Scrooge', 'Santa Claus'",ThePolarExpress
TomH,Jimmy Dugan,ALeagueofTheirOwn
GeenaD,Dottie Hinson,ALeagueofTheirOwn
LoriP,Kit Keller,ALeagueofTheirOwn
RosieO,Doris Murphy,ALeagueofTheirOwn
Madonna,(All the Way) Mae Mordabito,ALeagueofTheirOwn
BillPax,Bob Hinson,ALeagueofTheirOwn
KangHoSong,Ki Taek,Parasite
SunKyunLee,Dong Ik,Parasite
YeoJeongJo,Yeon Kyo,Parasite
WooSikChoi,Ki Woo,Parasite
SoDamPark,Ki Jung,Parasite
JoaquinPhoenix,Arthur Fleck,Joker
RobertDeNiro,Murray Franklin,Joker
ZazieBeetz,Sophie Dumond,Joker
